source,target,regex,code,type,hits,title,status
"/3503-2/","/the-spa-at-flying-horse-february-2019-specials/",0,301,"url",0,"","active"
"/easter-brunch/","/easter-brunch-2020/",0,301,"url",1,"","active"
"/june-2020-spa-raffle/","/june-2020-pure-fiji-spa-raffle/",0,301,"url",0,"","active"
"/golf-academy/","https://www.flyinghorsegolfacademy.com/",0,301,"url",21296,"","active"
"/auto-draft/","/december-2020-spa-specials/",0,301,"url",1182,"","active"
"/club-member-update-3/","/covid-19-update-march-2020/",0,301,"url",854,"","active"
"/auto-draft-2/","/march-2021-spa-specials/",0,301,"url",1,"","active"
"/auto-draft-2/","/april-2021-spa-specials/",0,301,"url",0,"","active"
"/pavilion-menu","https://flyinghorseclub.com/mobile-menus/#golf-menus",0,301,"url",12,"","active"
"/grillmenu","https://flyinghorseclub.com/mobile-menus/#athletic-grill-menus",0,301,"url",18,"","active"
"/the-flying-horse-five/","/flying-horse-five/",0,301,"url",0,"","active"
"/repo","https://github.com/Classic-Homes/flying-horse-club",0,301,"url",3,"","active"
"/spa-health-form","https://my.guestintake.com/kiosk/5cadfbc13e61a6374cc408b5",0,301,"url",738,"","active"
"/athletic-grill-menu","https://flyinghorseclub.com/mobile-menus/#athletic-grill-menus",0,301,"url",217,"","active"
"/catering-menu","https://flyinghorseclub.com/wp-content/uploads/2023/06/Banquet-Catering-Packet_18MAY2023_EMAIL.pdf",0,301,"url",23,"","active"
"/tennis-brochure","https://flyinghorseclub.com/wp-content/uploads/2022/12/Racquet-Sports-Packet-2023_EMAIL.pdf",0,301,"url",7,"","active"
"/pilates-brochure","https://flyinghorseclub.com/wp-content/uploads/2022/11/Pilates-Brochure-2022_EMAIL.pdf",0,301,"url",12,"","active"
"/golf-calendar","https://flyinghorseclub.com/wp-content/uploads/2022/04/Golf-Calendar-2022_04.15.22_EMAIL.pdf",0,301,"url",200,"","active"
"/reasons-to-visit-the-lodge-at-flying-horse/","/top-10-reasons-to-visit-colorado-springs/",0,301,"url",0,"","active"
"/north-clubhouse-menu","https://flyinghorseclub.com/mobile-menus/#north-clubhouse-menu",0,301,"url",4,"","active"
"/food-wagon-menu","https://flyinghorseclub.com/mobile-menus/#food-wagon",0,301,"url",18,"","active"
"/spa-brochure","https://flyinghorseclub.com/wp-content/uploads/2023/03/Spa-Brochure-2023-booklet_03.02.23_EMAIL.pdf",0,301,"url",15293,"","active"
"/in-room-dining-menus/","https://lodgeatflyinghorse.com/inroomdining",0,301,"url",1336,"","active"
"/inroomdining","https://lodgeatflyinghorse.com/inroomdining",0,301,"url",0,"","active"
"/flyinghorsemenus","https://flyinghorseclub.com/mobile-menus/",0,301,"url",618,"","active"
"/juniortennissignup","https://www.signupgenius.com/tabs/93d7fd90ea7cce5ce8-2023horse#/",0,301,"url",76,"","active"
"/adulttennissignup","https://www.signupgenius.com/tabs/93d7fd90ea7cce5ce8-flying#/",0,301,"url",79,"","active"
"/auto-draft-10067/","/july-2023-spa-specials/",0,301,"url",5,"","active"
"/auto-draft-10314/","/golf-shop-pre-black-friday-sale/",0,301,"url",0,"","active"
"/2023holidays/","/2023holidayhours/",0,301,"url",104,"","active"
"/q1specials/","/specialevents2024/",0,301,"url",28,"","active"
"/auto-draft-10575/","/january-2024-spa/",0,301,"url",1,"","active"
"/careers/","https://www.paycomonline.net/v4/ats/web.php/jobs?clientkey=ECAF32DB7FA8D6F1C4A2F4FD5DE672C8",0,301,"url",71,"","active"
"/auto-draft-11122/","/winespectatoraward2024/",0,301,"url",0,"","active"
